cluster,customers,recency_median,frequency_mean,frequency_median,total_premium_median,avg_premium_median,avg_days_mean,intl_share_mean,japan_share_mean,korea_share_mean,long_haul_share_mean,multi_dest_share_mean,avg_lead_days_mean,short_notice_share_mean,avg_prem_per_day_median,customer_share,repurchase_rate_2025,event_time_median,cluster_name,marketing_priority,first_reminder,second_reminder,copy_direction,sample_copy
0,133164,287.0,1.3611261301853355,1.0,887.0,745.0,8.038162856888192,0.9857368973245846,0.4679547000892599,0.11327670258504559,0.09210108544601421,0.0029400421674652902,4.121859961506697,0.6975754130093798,121.0,0.7714777329107984,0.16701210537382477,337.0,海外日本主力客,中,賞櫻/暑假/楓葉季前,上次投保後 90-150 天,以日本旅遊情境設計文案,準備再去日本了嗎？機票住宿安排好，也別忘了把旅平險一起準備好。
1,7995,262.0,1.4350218886804254,1.0,1230.0,1018.0,18.395486521289964,0.9934439905171613,0.2313208244705872,0.1307577842375326,0.3944226869444836,0.8809436005691937,4.264431947846306,0.7054172933162559,105.11111111111111,0.046318558128486925,0.17623514696685427,320.0,多目的地長天數高價值客,高,上次投保後 120-180 天,旅遊旺季或長假前,強調海外醫療、完整保障、多國或長天數行程安心,多國或長天數行程更需要完整保障，出發前記得確認旅平險是否已安排。
2,31450,324.0,1.320095389507154,1.0,243.0,212.0,2.8923431015594514,0.01746506206162917,0.007537987786439799,0.0020724127488833373,0.00028894440659146543,0.00018768768768768769,3.2029071494698926,0.7867678439504907,79.0,0.18220370896071467,0.15278219395866455,355.0,臨行前快速投保客,中,連假/旺季前 7 天,出發前 1-3 天,強調快速投保、少步驟、出發前提醒,出發前別忘了旅平險，幾分鐘完成投保，行程更安心。
